#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,False
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,False
3,Venusaur,Grass,Poison,80,82,83,100,100,80,1,False
4,Charmander,Fire,,39,52,43,60,50,65,1,False
5,Charmeleon,Fire,,58,64,58,80,65,80,1,False
6,Charizard,Fire,Flying,78,84,78,109,85,100,1,False
7,Squirtle,Water,,44,48,65,50,64,43,1,False
8,Wartortle,Water,,59,63,80,65,80,58,1,False
9,Blastoise,Water,,79,83,100,85,105,78,1,False
25,Pikachu,Electric,,35,55,40,50,50,90,1,False
26,Raichu,Electric,,60,90,55,90,80,110,1,False
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,False
52,Meowth,Normal,,40,45,35,40,40,90,1,False
54,Psyduck,Water,,50,52,48,65,50,55,1,False
58,Growlithe,Fire,,55,70,45,70,50,60,1,False
63,Abra,Psychic,,25,20,15,105,55,90,1,False
65,Alakazam,Psychic,,55,50,45,135,95,120,1,False
66,Machop,Fighting,,70,80,50,35,35,35,1,False
74,Geodude,Rock,Ground,40,80,100,30,30,20,1,False
81,Magnemite,Electric,Steel,25,35,70,95,55,45,1,False
92,Gastly,Ghost,Poison,30,35,30,100,35,80,1,False
94,Gengar,Ghost,Poison,60,65,60,130,75,110,1,False
95,Onix,Rock,Ground,35,45,160,30,45,70,1,False
129,Magikarp,Water,,20,10,55,15,20,80,1,False
130,Gyarados,Water,Flying,95,125,79,60,100,81,1,False
133,Eevee,Normal,,55,55,50,45,65,55,1,False
134,Vaporeon,Water,,130,65,60,110,95,65,1,False
135,Jolteon,Electric,,65,65,60,110,95,130,1,False
136,Flareon,Fire,,65,130,60,95,110,65,1,False
143,Snorlax,Normal,,160,110,65,65,110,30,1,False
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,1,False
150,Mewtwo,Psychic,,106,110,90,154,90,130,1,True
151,Mew,Psychic,,100,100,100,100,100,100,1,True
